	Neighborhood	URL	Title	Latitude	Longitude
0	The Beaches	/wiki/The_Beaches	The Beaches, Toronto	43.6710244	-79.296712
1	Alexandra Park	/wiki/Alexandra_Park,_Toronto	Alexandra Park, Toronto	43.65075755	-79.4042978683821
2	Allenby	/wiki/Allenby,_Toronto	Allenby, Toronto	43.7113509	-79.5534236
3	The Annex	/wiki/The_Annex	The Annex, Toronto	43.6703377	-79.407117
4	Bedford Park	/wiki/Bedford_Park,_Toronto	Bedford Park, Toronto	43.7373876	-79.4109253
5	Bloor Street Culture Corridor	/wiki/Bloor_Street_Culture_Corridor	Bloor Street Culture Corridor, Toronto	43.6687015	-79.3941295
6	Bloordale Village	/wiki/Bloordale_Village	Bloordale Village, Toronto	43.6583477	-79.4427428
7	Bracondale Hill	/wiki/Bracondale_Hill	Bracondale Hill, Toronto	43.6761247	-79.4279997
8	Bickford Park	/wiki/Palmerston%E2%80%93Little_Italy	Palmerston–Little Italy, Toronto	43.655854	-79.4101161
9	Bloor West Village	/wiki/Bloor_West_Village	Bloor West Village, Toronto	43.6493184	-79.4844358
10	Cabbagetown	/wiki/Cabbagetown,_Toronto	Cabbagetown, Toronto	43.6644734	-79.3669861
11	Carleton Village	/wiki/Carleton_Village	Carleton Village, Toronto	43.6707006	-79.4532993
12	Chaplin Estates	/wiki/Chaplin_Estates	Chaplin Estates, Toronto	43.7025981	-79.4032704
13	Christie Pits	/wiki/Christie_Pits	Christie Pits, Toronto	43.6671385	-79.4227656
14	Corktown	/wiki/Corktown,_Toronto	Corktown, Toronto	43.6573709	-79.3565189
15	Brockton Village	/wiki/Brockton_Village	Brockton Village, Toronto	43.6509173	-79.4400216
16	Chinatown	/wiki/Chinatown,_Toronto	Chinatown, Toronto	43.6529237	-79.3980316
17	Church and Wellesley	/wiki/Church_and_Wellesley	Church and Wellesley, Toronto	43.6655242	-79.3838011
18	CityPlace	/wiki/CityPlace,_Toronto	CityPlace, Toronto	43.6392482	-79.3963865
19	Casa Loma	/wiki/Casa_Loma_(neighbourhood)	Casa Loma, Toronto	43.6781015	-79.409415775
20	Davisville Village	/wiki/Davisville_Village	Davisville Village, Toronto	43.7043123	-79.3885169
21	Deer Park	/wiki/Deer_Park,_Toronto	Deer Park, Toronto	43.68809	-79.3940935
22	Earlscourt	/wiki/Earlscourt	Earlscourt, Toronto	43.6762773	-79.4505723
23	East Chinatown	/wiki/East_Chinatown,_Toronto	East Chinatown, Toronto	43.6523873	-79.3835641
24	East Toronto	/wiki/East_Toronto	East Toronto, Toronto	43.653963	-79.387207
25	Entertainment District	/wiki/Toronto_Entertainment_District	Toronto Entertainment District, Toronto	43.64383755	-79.3866924741406
26	Financial District	/wiki/Financial_District,_Toronto	Financial District, Toronto	43.64866395	-79.3815338905095
27	Kensington Market	/wiki/Kensington_Market	Kensington Market, Toronto	43.6552136	-79.4022604
28	Lawrence Park	/wiki/Lawrence_Park,_Toronto	Lawrence Park, Toronto	43.729199	-79.4032525
29	Discovery District	/wiki/Discovery_District	Discovery District, Toronto	43.6575555	-79.3894803
30	Davenport	/wiki/Davenport,_Toronto	Davenport, Toronto	43.6715614	-79.4482927
31	East Danforth	/wiki/East_Danforth	East Danforth, Toronto	43.6863598	-79.3003158
32	Forest Hill	/wiki/Forest_Hill,_Toronto	Forest Hill, Toronto	43.6935586	-79.4139023
33	Harbord Village	/wiki/Harbord_Village	Harbord Village, Toronto	43.6615225	-79.4097446
34	Gerrard India Bazaar	/wiki/Gerrard_India_Bazaar	Gerrard India Bazaar, Toronto	43.6722231	-79.3235032
35	Grange Park	/wiki/Grange_Park_(neighbourhood)	Grange Park, Toronto	43.6521919	-79.3921942591534
36	Junction Triangle	/wiki/Junction_Triangle	Junction Triangle, Toronto	43.65789885	-79.4480432422613
37	Corso Italia	/wiki/Corso_Italia_(Toronto)	Corso Italia, Toronto	43.677954	-79.4430828
38	Distillery District	/wiki/Distillery_District	Distillery District, Toronto	43.6502947	-79.3595401
39	Dufferin Grove	/wiki/Dufferin_Grove	Dufferin Grove, Toronto	43.6536319	-79.4264389
40	Harbourfront	/wiki/Harbourfront_(Toronto)	Harbourfront, Toronto	43.6400801	-79.3801495
41	Leslieville	/wiki/Leslieville	Leslieville, Toronto	43.6627	-79.3328148
42	Little Italy	/wiki/Little_Italy,_Toronto	Little Italy, Toronto	43.6552079	-79.4148769
43	Little Portugal	/wiki/Little_Portugal,_Toronto	Little Portugal, Toronto	43.64741325	-79.4311163254605
44	Moss Park	/wiki/Moss_Park	Moss Park, Toronto	43.6546438	-79.3697278
45	North Toronto	/wiki/North_Toronto	North Toronto, Toronto	43.653963	-79.387207
46	Parkdale	/wiki/Parkdale,_Toronto	Parkdale, Toronto	43.6404954	-79.4368965
47	Port Lands	/wiki/Port_Lands	Port Lands, Toronto	43.6430648	-79.3506012
48	Queen Street West	/wiki/Queen_Street_West	Queen Street West, Toronto	43.6498523	-79.3911748
49	Trinity–Bellwoods	/wiki/Trinity%E2%80%93Bellwoods	Trinity–Bellwoods, Toronto	43.64756465	-79.4138809026667
50	The Ward	/wiki/The_Ward,_Toronto	The Ward, Toronto	-26.209862	28.3419948
51	Amesbury	/wiki/Amesbury,_Toronto	Amesbury, Toronto	43.7061619	-79.4834918540464
52	Bayview Village	/wiki/Bayview_Village	Bayview Village, Toronto	43.7691966	-79.3766617
53	Downtown Yonge	/wiki/Downtown_Yonge	Downtown Yonge, Toronto	43.6563221	-79.3809161
54	Garden District	/wiki/Garden_District,_Toronto	Garden District, Toronto	43.6565019	-79.3771275
55	Old Town	/wiki/Old_Town,_Toronto	Old Town, Toronto	43.6708625	-79.3727924125372
56	Palmerston	/wiki/Palmerston%E2%80%93Little_Italy	Palmerston–Little Italy, Toronto	43.655854	-79.4101161
57	Riverdale	/wiki/Riverdale,_Toronto	Riverdale, Toronto	43.6654704	-79.3525936
58	South Hill	/wiki/South_Hill,_Toronto	South Hill, Toronto	43.6779261	-79.4057671
59	Summerhill	/wiki/Summerhill,_Toronto	Summerhill, Toronto	43.6816776	-79.3905037
60	Swansea	/wiki/Swansea,_Toronto	Swansea, Toronto	43.64494	-79.478313
61	Bayview Woods – Steeles	/wiki/Bayview_Woods_%E2%80%93_Steeles	Bayview Woods – Steeles, Toronto	43.7981268	-79.3829726
62	Bridle Path	/wiki/Bridle_Path,_Toronto	Bridle Path, Toronto	43.7353996	-79.370883
63	Don Valley Village	/wiki/Don_Valley_Village	Don Valley Village, Toronto	43.7926732	-79.3547219
64	Glen Park	/wiki/Glen_Park,_Toronto	Glen Park, Toronto	43.7090016	-79.4437983
65	Jane and Finch	/wiki/Jane_and_Finch	Jane and Finch, Toronto	43.7572532	-79.5176975
66	Lansing	/wiki/Lansing,_Toronto	Lansing, Toronto	43.7589503	-79.4225555
67	Lawrence Manor	/wiki/Lawrence_Manor	Lawrence Manor, Toronto	43.7220788	-79.4375067
68	Newtonbrook	/wiki/Newtonbrook	Newtonbrook, Toronto	43.7938863	-79.4256790230105
69	Pelmo Park – Humberlea	/wiki/Pelmo_Park_%E2%80%93_Humberlea	Pelmo Park – Humberlea, Toronto	43.7121949	-79.5175109823888
70	Pleasant View	/wiki/Pleasant_View,_Toronto	Pleasant View, Toronto	43.787048	-79.3337137
71	Guildwood	/wiki/Guildwood	Guildwood, Toronto	43.7548985	-79.1977755
72	Highland Creek	/wiki/Highland_Creek,_Toronto	Highland Creek, Toronto	43.7901172	-79.1733344
73	Morningside	/wiki/Morningside,_Toronto	Morningside, Toronto	43.7826012	-79.2049579
74	Scarborough Village	/wiki/Scarborough_Village	Scarborough Village, Toronto	43.7437422	-79.2116324
75	Steeles	/wiki/Steeles,_Toronto	Steeles, Toronto	43.8161778	-79.3145378
76	West Rouge	/wiki/West_Rouge	West Rouge, Toronto	43.7859631	-79.1307556
77	Eatonville	/wiki/Eatonville,_Toronto	Eatonville, Toronto	43.6462843	-79.5600005
78	Baby Point	/wiki/Baby_Point	Baby Point, Toronto	43.6558741	-79.4964941
79	Fairbank	/wiki/Fairbank,_Toronto	Fairbank, Toronto	43.695689	-79.4503097
80	Oakwood–Vaughan	/wiki/Oakwood%E2%80%93Vaughan	Oakwood–Vaughan, Toronto	43.6916811	-79.4399097
81	Old Mill	/wiki/Old_Mill,_Toronto	Old Mill, Toronto	43.6513012	-79.4954753
82	Tichester	/wiki/York,_Toronto	York, Toronto	43.6896191	-79.479188
83	Bermondsey	/wiki/Bermondsey,_Toronto	Bermondsey, Toronto	43.7138242	-79.3106776
84	Crescent Town	/wiki/Crescent_Town	Crescent Town, Toronto	43.695403	-79.293099
85	O'Connor–Parkview	/wiki/O%27Connor%E2%80%93Parkview	O'Connor–Parkview, Toronto	43.7070599	-79.3116303
86	Old East York	/wiki/Old_East_York	Old East York, Toronto	43.6913391	-79.3278212
87	Dovercourt Park	/wiki/Dovercourt_Park	Dovercourt Park, Toronto	43.6651844	-79.433504844005
88	Fashion District	/wiki/Fashion_District,_Toronto	Fashion District, Toronto	43.6454561	-79.3949942
89	The Junction	/wiki/The_Junction	The Junction, Toronto	43.6654775	-79.470352
90	Little Tibet	/wiki/Little_Tibet,_Toronto	Little Tibet, Toronto	43.6389445	-79.4273119
91	Moore Park	/wiki/Moore_Park,_Toronto	Moore Park, Toronto	43.6903876	-79.3832965
92	Norway	/wiki/Upper_Beaches	Upper Beaches, Toronto	43.6710244	-79.296712
93	Quayside	/wiki/Quayside,_Toronto	Quayside, Toronto	43.6472502	-79.3581720783773
94	Railway Lands	/wiki/Railway_Lands	Railway Lands, Toronto	49.2663469	-123.2367458
95	St. James Town	/wiki/St._James_Town	St. James Town, Toronto	43.6694032	-79.3727041
96	Upper Beaches	/wiki/Upper_Beaches	Upper Beaches, Toronto	43.6710244	-79.296712
97	Uptown Toronto	/wiki/Uptown_Toronto	Uptown Toronto, Toronto	43.6694927	-79.3874145473265
98	Wychwood Park	/wiki/Wychwood_Park	Wychwood Park, Toronto	43.677743	-79.4201849779446
99	Yorkville	/wiki/Yorkville,_Toronto	Yorkville, Toronto	43.6713861	-79.3901677
100	Don Mills	/wiki/Don_Mills	Don Mills, Toronto	43.737178	-79.3434514
101	Flemingdon Park	/wiki/Flemingdon_Park	Flemingdon Park, Toronto	43.7184315	-79.333204
102	Henry Farm	/wiki/Henry_Farm	Henry Farm, Toronto	43.7695089	-79.354296
103	Hillcrest Village	/wiki/Hillcrest_Village	Hillcrest Village, Toronto	43.7996637	-79.3650189
104	Hoggs Hollow	/wiki/Hoggs_Hollow	Hoggs Hollow, Toronto	43.7415342	-79.4028781
105	Lawrence Heights	/wiki/Lawrence_Heights	Lawrence Heights, Toronto	43.7227784	-79.4509332
106	Parkway Forest	/wiki/Parkway_Forest	Parkway Forest, Toronto	43.77166	-79.3426631
107	Parkwoods	/wiki/Parkwoods	Parkwoods, Toronto	43.7587999	-79.3201966
108	Teddington Park	/wiki/Teddington_Park	Teddington Park, Toronto	43.7335308	-79.4021667
109	Victoria Village	/wiki/Victoria_Village	Victoria Village, Toronto	43.732658	-79.3111892
110	York Mills	/wiki/York_Mills	York Mills, Toronto	43.7461836	-79.4204541
111	Armadale	/wiki/Armadale,_Ontario	Armadale, Ontario, Toronto	43.8365868	-79.2511551
112	Eglinton East	/wiki/Eglinton_East	Eglinton East, Toronto	43.739622	-79.2322904
113	L'Amoreaux	/wiki/L%27Amoreaux	L'Amoreaux, Toronto	43.799003	-79.3059669
114	Maryvale	/wiki/Maryvale,_Toronto	Maryvale, Toronto	43.7590508	-79.3102297
115	Morningside Heights	/wiki/Morningside_Heights,_Toronto	Morningside Heights, Toronto	43.8237001	-79.2241521
116	Port Union	/wiki/Port_Union,_Toronto	Port Union, Toronto	43.7755039	-79.1349765
117	Rouge	/wiki/Rouge,_Toronto	Rouge, Toronto	43.8049304	-79.1658374
118	The Elms	/wiki/The_Elms,_Toronto	The Elms, Toronto	43.6969975	-79.5218834
119	Humber Valley Village	/wiki/Humber_Valley_Village	Humber Valley Village, Toronto	43.6664717	-79.5243136
120	The Kingsway	/wiki/The_Kingsway	The Kingsway, Toronto	43.6473811	-79.5113328
121	Markland Wood	/wiki/Markland_Wood	Markland Wood, Toronto	43.63123795	-79.5854368166265
122	Princess Gardens	/wiki/Princess_Gardens	Princess Gardens, Toronto	43.6404664	-79.3912237
123	The Queensway – Humber Bay	/wiki/The_Queensway_%E2%80%93_Humber_Bay	The Queensway – Humber Bay, Toronto	43.6262816	-79.502751
124	Weston	/wiki/Weston,_Toronto	Weston, Toronto	43.7001608	-79.5162474
125	Leaside	/wiki/Leaside	Leaside, Toronto	43.7047983	-79.3680904
126	Pape Village	/wiki/Pape_Village	Pape Village, Toronto	43.6893775	-79.3488243
127	St. Lawrence	/wiki/St._Lawrence,_Toronto	St. Lawrence, Toronto	43.649422	-79.3714278
128	South Core	/wiki/South_Core,_Toronto	South Core, Toronto	43.6421064	-79.3774455
129	Trefann Court	/wiki/Trefann_Court	Trefann Court, Toronto	43.6564893	-79.3628297
130	Armour Heights	/wiki/Armour_Heights	Armour Heights, Toronto	43.7439436	-79.4308512
131	Graydon Hall	/wiki/Graydon_Hall	Graydon Hall, Toronto	43.7628628	-79.3426665794745
