	Neighborhood	URL	Title	Latitude	Longitude
0	Alexandra Park	/wiki/Alexandra_Park,_Toronto	Alexandra Park, Toronto	43.65075755	-79.4042978683821
1	Allenby	/wiki/Allenby,_Toronto	Allenby, Toronto	43.7113509	-79.5534236
2	The Annex	/wiki/The_Annex	The Annex, Toronto	43.6703377	-79.407117
3	The Beaches	/wiki/The_Beaches	The Beaches, Toronto	43.6710244	-79.296712
4	Bedford Park	/wiki/Bedford_Park,_Toronto	Bedford Park, Toronto	43.7373876	-79.4109253
5	Bickford Park	/wiki/Palmerston%E2%80%93Little_Italy	Palmerston–Little Italy, Toronto	43.655854	-79.4101161
6	Bloor West Village	/wiki/Bloor_West_Village	Bloor West Village, Toronto	43.6493184	-79.4844358
7	Bloor Street Culture Corridor	/wiki/Bloor_Street_Culture_Corridor	Bloor Street Culture Corridor, Toronto	43.6687015	-79.3941295
8	Bloordale Village	/wiki/Bloordale_Village	Bloordale Village, Toronto	43.6583477	-79.4427428
9	Bracondale Hill	/wiki/Bracondale_Hill	Bracondale Hill, Toronto	43.6761247	-79.4279997
