	PostalCode	Borough	Neighborhood	URL	Title	Latitude	Longitude
0	M3A	North York	Parkwoods	/wiki/Parkwoods	Parkwoods, Toronto, Ontario	43.68657452246789	-79.40999250225033
1	M4A	North York	Victoria Village	/wiki/Victoria_Village	Victoria Village, Toronto, Ontario	43.731540000000045	-79.31427999999994
2	M5A	Downtown Toronto	Regent Park	/wiki/Regent_Park	Regent Park, Toronto, Ontario	43.660690000000045	-79.36030999999997
3	M6A	North York	Lawrence Heights	/wiki/Lawrence_Heights	Lawrence Heights, Toronto, Ontario	43.723570000000045	-79.43710999999995
4	M6A	North York	Lawrence Manor	/wiki/Lawrence_Manor	Lawrence Manor, Toronto, Ontario	43.722920000000045	-79.43130999999994
5	M7A	Queen's Park	Queen's Park	/wiki/Queen%27s_Park_(Toronto)	Queen's Park, Toronto, Ontario	43.66253000000007	-79.39016999999996
6	M9A	Etobicoke	Islington Avenue	/wiki/Islington_Avenue	Islington Avenue, Toronto, Ontario	43.72268716806422	-79.55868864345608
7	M1B	Scarborough	Rouge	/wiki/Rouge,_Toronto	Rouge, Toronto, Ontario	43.807660000000055	-79.17404999999997
8	M1B	Scarborough	Malvern	/wiki/Malvern,_Toronto	Malvern, Toronto, Ontario	43.809770000000064	-79.22083999999995
9	M3B	North York	Don Mills North	/wiki/North_York	North York, Toronto, Ontario	43.69933894721208	-79.3377225
10	M4B	East York	Woodbine Gardens	/wiki/Woodbine_Gardens	Woodbine Gardens, Toronto, Ontario	43.70557000000008	-79.30058999999993
11	M4B	East York	Parkview Hill	/wiki/Parkview_Hill	Parkview Hill, Toronto, Ontario	43.70464000000004	-79.32266999999995
12	M5B	Downtown Toronto	Ryerson	/wiki/Downtown_Toronto	Downtown Toronto, Toronto, Ontario	43.64882869366225	-79.40248581053244
13	M5B	Downtown Toronto	Garden District	/wiki/Downtown_Toronto	Downtown Toronto, Toronto, Ontario	43.657940000000046	-79.37561999999997
14	M6B	North York	Glencairn	/wiki/North_York	North York, Toronto, Ontario	43.71327128066915	-79.42463037732348
15	M9B	Etobicoke	Cloverdale	/wiki/Etobicoke	Etobicoke, Toronto, Ontario	43.63015349209183	-79.55614470880101
16	M9B	Etobicoke	Islington	/wiki/Islington,_Toronto	Islington, Toronto, Ontario	43.72268716806422	-79.55868864345608
17	M9B	Etobicoke	Martin Grove	/wiki/Etobicoke	Etobicoke, Toronto, Ontario	43.74317082249074	-79.59481176960723
