CategorySortID,Category,CategoryID,CategoryGroup
1,Arcade,4bf58dd8d48988d1e1931735,Amuse
2,Bowling Alley,4bf58dd8d48988d1e4931735,Amuse
3,Casino,4bf58dd8d48988d17c941735,Amuse
4,Go Kart Track,52e81612bcbc57f1066b79ea,Amuse
5,Karaoke Box,5744ccdfe4b0c0459246b4bb,Amuse
6,Laser Tag,52e81612bcbc57f1066b79e6,Amuse
7,Mini Golf,52e81612bcbc57f1066b79eb,Amuse
8,Pool Hall,4bf58dd8d48988d1e3931735,Amuse
9,Racecourse,56aa371be4b08b9a8d573514,Amuse
10,Racetrack,4bf58dd8d48988d1f4931735,Amuse
11,Roller Rink,52e81612bcbc57f1066b79e9,Amuse
12,Theme Park,4bf58dd8d48988d182941735,Amuse
13,Water Park,4bf58dd8d48988d193941735,Amuse
14,Creperie,52e81612bcbc57f1066b79f2,Indulge
15,Dessert Shop,4bf58dd8d48988d1d0941735,Indulge
16,Donut Shop,4bf58dd8d48988d148941735,Indulge
17,Vineyard,4bf58dd8d48988d1de941735,Indulge
18,Winery,4bf58dd8d48988d14b941735,Indulge
19,Candy Store,4bf58dd8d48988d117951735,Indulge
20,Chocolate Shop,52f2ab2ebcbc57f1066b8b31,Indulge
21,Post Office,4bf58dd8d48988d172941735,Location
22,Intersection,52f2ab2ebcbc57f1066b8b4c,Location
23,Music Venue,4bf58dd8d48988d1e5931735,Party
24,Salsa Club,52e81612bcbc57f1066b79ec,Party
25,Beach Bar,52e81612bcbc57f1066b7a0d,Party
26,Beer Bar,56aa371ce4b08b9a8d57356c,Party
27,Beer Garden,4bf58dd8d48988d117941735,Party
28,Champagne Bar,52e81612bcbc57f1066b7a0e,Party
29,Cocktail Bar,4bf58dd8d48988d11e941735,Party
30,Dive Bar,4bf58dd8d48988d118941735,Party
31,Gay Bar,4bf58dd8d48988d1d8941735,Party
32,Hookah Bar,4bf58dd8d48988d119941735,Party
33,Hotel Bar,4bf58dd8d48988d1d5941735,Party
34,Karaoke Bar,4bf58dd8d48988d120941735,Party
35,Pub,4bf58dd8d48988d11b941735,Party
36,Sake Bar,4bf58dd8d48988d11c941735,Party
37,Speakeasy,4bf58dd8d48988d1d4941735,Party
38,Sports Bar,4bf58dd8d48988d11d941735,Party
39,Tiki Bar,56aa371be4b08b9a8d57354d,Party
40,Whisky Bar,4bf58dd8d48988d122941735,Party
41,Wine Bar,4bf58dd8d48988d123941735,Party
42,Brewery,50327c8591d4c4b30a586d5d,Party
43,Lounge,4bf58dd8d48988d121941735,Party
44,Nightclub,4bf58dd8d48988d11f941735,Party
45,Other Nightlife,4bf58dd8d48988d11a941735,Party
46,Strip Club,4bf58dd8d48988d1d6941735,Party
48,Café,4bf58dd8d48988d16d941735,Relax
49,Coffee Shop,4bf58dd8d48988d1e0931735,Relax
50,Massage Studio,52f2ab2ebcbc57f1066b8b3c,Relax
51,Sauna / Steam Room,58daa1558bbb0b01f18ec1ae,Relax
52,Resort,4bf58dd8d48988d12f951735,Relax
53,Badminton Court,52e81612bcbc57f1066b7a2b,Strive
54,Baseball Field,4bf58dd8d48988d1e8941735,Strive
55,Basketball Court,4bf58dd8d48988d1e1941735,Strive
56,Bowling Green,52e81612bcbc57f1066b7a2f,Strive
57,Curling Ice,56aa371be4b08b9a8d57351a,Strive
58,Golf Course,4bf58dd8d48988d1e6941735,Strive
59,Golf Driving Range,58daa1558bbb0b01f18ec1b0,Strive
60,Gym / Fitness Center,4bf58dd8d48988d175941735,Strive
61,Hockey Field,4f452cd44b9081a197eba860,Strive
62,Hockey Rink,56aa371be4b08b9a8d57352c,Strive
63,Paintball Field,5032829591d4c4b30a586d5e,Strive
64,Rugby Pitch,52e81612bcbc57f1066b7a2c,Strive
65,Skate Park,4bf58dd8d48988d167941735,Strive
66,Skating Rink,4bf58dd8d48988d168941735,Strive
